Frame,X (mm),Y (mm),Z (mm)
0,15.38,-47.37,353.26
15,-78.78,-196.89,371.45
17,-18.2,-42.43,443.52
18,-1.98,-28.47,438.67
19,22.3,-18.21,435.32
20,40.27,-18.84,430.57
21,41.89,-35.37,430.26
22,43.59,-37.06,430.72
23,40.99,-33.65,429.45
24,40.98,-31.16,429.3
25,44.31,-31.19,429.65
26,45.12,-30.35,429.46
27,44.2,-31.94,428.6
28,44.97,-31.9,428.1
29,43.23,-31.83,427.13
30,43.19,-31.8,426.74
31,43.98,-34.23,426.41
32,45.69,-35.1,427.06
33,45.7,-35.12,427.2
34,46.54,-35.95,427.39
35,42.07,-38.91,423.75
36,20.95,-50.13,408.98
